,CourseCode,PedagogicalName,NRegistrations
499,AR-597,Master semestre 1,243
500,AR-598,Master semestre 1,558
501,AR-598,Master semestre 3,289
502,AR-598,Semestre printemps,2
503,AR-599,Projet Master automne,19
504,AR-599,Projet Master printemps,697
505,BIO-100,Bachelor semestre 2,552
506,BIO-101,Bachelor semestre 2,298
507,BIO-102,Bachelor semestre 2,298
508,BIO-103,Bachelor semestre 1,635
509,BIO-103,Bachelor semestre 2,446
510,BIO-104,Bachelor semestre 2,821
511,BIO-105,Master semestre 1,124
512,BIO-105,Master semestre 3,109
513,BIO-105,Semestre automne,116
514,BIO-106,Bachelor semestre 2,359
515,BIO-106,Semestre printemps,281
516,BIO-107,Bachelor semestre 6,146
517,BIO-107,Semestre printemps,4
518,BIO-108,Bachelor semestre 6,60
519,BIO-109(a),Bachelor semestre 1,169
520,BIO-109(b),Bachelor semestre 1,858
521,BIO-109(c),Bachelor semestre 1,849
522,BIO-109(d),Bachelor semestre 1,511
523,BIO-109(e),Bachelor semestre 1,391
524,BIO-111,Bachelor semestre 2,1126
525,BIO-111,Bachelor semestre 6,4
526,BIO-200,Bachelor semestre 4,46
527,BIO-201,Bachelor semestre 3,154
528,BIO-201,Bachelor semestre 5,294
529,BIO-201,Master semestre 3,3
530,BIO-201,Semestre automne,383
531,BIO-202,Bachelor semestre 4,148
532,BIO-203,Bachelor semestre 4,526
533,BIO-204,Bachelor semestre 4,526
534,BIO-205,Bachelor semestre 3,553
535,BIO-206,Bachelor semestre 4,341
536,BIO-207,Bachelor semestre 4,120
537,BIO-212,Bachelor semestre 3,644
538,BIO-213,Bachelor semestre 4,612
539,BIO-221,Bachelor semestre 4,149
540,BIO-221,Bachelor semestre 6,295
541,BIO-222,Bachelor semestre 4,76
542,BIO-241,Bachelor semestre 4,258
543,BIO-242,Bachelor semestre 3,255
544,BIO-243,Bachelor semestre 3,299
545,BIO-244,Bachelor semestre 4,219
546,BIO-260,Bachelor semestre 4,77
547,BIO-303,Bachelor semestre 5,131
548,BIO-313,Master semestre 3,19
549,BIO-315,Master semestre 2,45
550,BIO-315,Master semestre 4,22
551,BIO-315,Semestre printemps,2
552,BIO-318,Master semestre 1,13
553,BIO-318,Master semestre 2,22
554,BIO-318,Master semestre 3,2
555,BIO-319,Master semestre 2,13
556,BIO-323,Bachelor semestre 5,62
557,BIO-341,Bachelor semestre 5,519
558,BIO-341,Semestre automne,1
559,BIO-361,Bachelor semestre 6,124
560,BIO-366,Bachelor semestre 6,109
561,BIO-371,Bachelor semestre 5,137
562,BIO-372,Bachelor semestre 5,554
563,BIO-372,Bachelor semestre 6,62
564,BIO-373,Bachelor semestre 5,527
565,BIO-373,Bachelor semestre 6,73
566,BIO-375,Bachelor semestre 6,129
567,BIO-375,Master semestre 2,4
568,BIO-375,Semestre printemps,17
569,BIO-376,Bachelor semestre 5,558
570,BIO-376,Semestre automne,42
571,BIO-377,Bachelor semestre 6,409
572,BIO-377,Master semestre 2,4
573,BIO-377,Semestre printemps,16
574,BIO-378,Bachelor semestre 6,149
575,BIO-379,Bachelor semestre 6,384
576,BIO-380,Bachelor semestre 5,64
577,BIO-380,Semestre automne,4
578,BIO-380(a),Bachelor semestre 5,71
579,BIO-380(b),Semestre automne,7
580,BIO-381,Bachelor semestre 6,29
581,BIO-382,Bachelor semestre 6,304
582,BIO-392,Bachelor semestre 6,99
583,BIO-409,Master semestre 2,55
584,BIO-412,Master semestre 2,15
585,BIO-430,Master semestre 2,79
586,BIO-430,Master semestre 4,68
587,BIO-440,Master semestre 3,11
588,BIO-441,Master semestre 4,25
589,BIO-443,Master semestre 2,14
590,BIO-443,Master semestre 4,12
591,BIO-447,Master semestre 1,397
592,BIO-447,Master semestre 3,179
593,BIO-448,Master semestre 2,18
594,BIO-449,Master semestre 1,70
595,BIO-449,Master semestre 3,13
596,BIO-450,Master semestre 1,31
597,BIO-455,Master semestre 1,315
598,BIO-455,Master semestre 3,75
599,BIO-461,Master semestre 3,46
600,BIO-462,Master semestre 3,61
601,BIO-463,Master semestre 1,172
602,BIO-463,Master semestre 3,37
603,BIO-465,Master semestre 2,313
604,BIO-465,Master semestre 4,47
605,BIO-465,Semestre printemps,89
606,BIO-466,Master semestre 2,6
607,BIO-466,Master semestre 4,3
608,BIO-467,Master semestre 1,19
609,BIO-467,Master semestre 3,8
610,BIO-468,Master semestre 1,7
611,BIO-468,Master semestre 3,4
612,BIO-469,Master semestre 1,48
613,BIO-469,Master semestre 3,20
614,BIO-470,Master semestre 3,35
615,BIO-471,Master semestre 1,108
616,BIO-471,Master semestre 3,58
617,BIO-472,Master semestre 2,69
618,BIO-472,Master semestre 4,32
619,BIO-473,Master semestre 2,1
620,BIO-473,Master semestre 4,5
621,BIO-474,Master semestre 2,2
622,BIO-475,Master semestre 3,10
623,BIO-476,Master semestre 2,15
624,BIO-477,Master semestre 2,56
625,BIO-477,Master semestre 4,60
